1M120,6564870.124,537955.114,46.884,KU
1M121,6564871.839,537954.785,46.849,KU
1M122,6564872.736,537954.616,46.839,KU
1 (2),6564880.310,537955.837,48.634,
1M123,6564904.706,537949.276,47.092,EK
1M124,6564904.366,537949.320,46.940,BP
1M125,6564903.325,537948.760,46.940,AP
1M126,6564899.092,537949.466,46.949,VPOST
1M127,6564897.908,537949.585,46.913,VPOST
1M128,6564893.091,537950.406,46.937,VPOST
1M129,6564894.164,537949.964,46.896,
1M130,6564894.145,537950.035,46.891,
1M131,6564896.918,537949.543,46.909,
1M132,6564896.941,537949.602,46.904,
1M133,6564892.890,537949.022,46.862,
1M134,6564892.810,537949.029,46.849,
1M135,6564891.524,537942.231,46.840,
1M136,6564891.460,537942.322,46.820,
1M137,6564888.986,537942.766,46.818,
1M138,6564888.872,537942.869,46.751,
1M139,6564894.596,537941.782,46.915,R
1M140,6564897.518,537941.126,46.831,R
1M141,6564896.012,537941.800,46.875,
1M142,6564896.099,537941.786,46.835,
1M143,6564897.134,537947.494,46.912,
1M144,6564897.204,537947.458,46.898,
1M145,6564898.868,537948.469,46.870,
1M146,6564898.934,537948.451,46.857,
1M147,6564898.116,537945.532,46.876,KK
1M148,6564902.586,537945.343,46.740,AP
1M149,6564892.096,537947.636,46.882,POS
1M150,6564892.777,537949.741,46.891,HK
1M151,6564885.245,537946.786,46.790,POS
1M152,6564879.895,537948.056,46.620,AP
1M153,6564881.215,537951.596,46.488,HK
1M154,6564869.236,537951.545,49.096,H
1M155,6564868.939,537949.393,49.142,H
1M156,6564872.077,537948.943,49.052,H
1M157,6564872.016,537948.566,49.063,H
1M158,6564874.621,537948.104,49.008,H
1M159,6564874.066,537944.689,48.723,H-
1M160,6564879.062,537952.839,48.076,VPOST
1M161,6564875.365,537953.440,47.687,VPOST
1M162,6564874.338,537953.667,47.538,VPOST
1M163,6564880.498,537952.606,46.822,AV
1M164,6564879.307,537952.216,47.731,POS
1M165,6564888.728,537941.620,48.789,H
1M166,6564897.272,537939.833,49.092,H
X2,6564986.548,537964.573,47.398,
1 (3),6564913.019,537949.474,48.699,
1M167,6564894.161,537967.346,46.931,
1M168,6564910.997,537965.158,46.844,
1M169,6564923.293,537962.017,46.846,
1M170,6564910.959,537934.110,48.731,H
1M171,6564914.250,537933.556,48.731,H
1M172,6564914.724,537936.587,48.725,H
1M173,6564913.723,537953.832,46.799,
1M174,6564919.696,537935.705,48.733,H
1M175,6564927.368,537925.162,49.569,H
1M176,6564925.254,537930.750,51.583,LP
1M177,6564931.422,537949.881,49.568,M
1M178,6564941.514,537948.615,50.046,LP
1M179,6564949.989,537947.398,47.653,LP
1M180,6564933.687,537949.786,47.486,KU
1M181,6564946.547,537948.061,47.316,KU
1M182,6564949.343,537941.711,49.613,BP
1M183,6564949.033,537941.777,48.417,EK
1M184,6564912.091,537947.198,46.795,VPOST
1M185,6564913.238,537946.937,46.809,VPOST
1M186,6564917.422,537946.317,46.831,VPOST
1M187,6564925.884,537944.919,46.789,AV
1M188,6564926.172,537944.953,46.802,AP
1M189,6564927.458,537950.390,46.979,KRAAV
1M190,6564928.844,537952.842,45.728,KRAAV
1M191,6564929.001,537955.624,46.977,KRAAV
1M192,6564928.416,537963.189,46.902,
1 (4),6564945.028,537946.296,48.614,
1M193,6564935.444,537949.242,46.931,KRAAV
1M194,6564938.271,537951.792,45.620,KRAAV
1M195,6564938.399,537953.330,46.716,KRAAV
1M196,6564936.999,537943.150,46.907,VPOST
1M197,6564938.025,537942.934,46.918,VPOST
1M198,6564942.016,537942.269,46.897,VPOST
1M199,6564941.920,537942.674,46.911,
1M200,6564942.010,537942.718,46.907,
1M201,6564936.001,537943.550,46.888,
1M202,6564935.932,537943.556,46.868,
1M203,6564937.757,537943.305,46.932,
1M204,6564937.709,537943.517,46.920,
1M205,6564919.066,537932.456,48.166,H
1M206,6564928.731,537933.490,48.744,H
1M207,6564942.777,537931.231,48.718,H
1M208,6564948.369,537937.491,48.681,R
1M209,6564948.976,537940.410,48.664,R
1M210,6564952.920,537939.601,48.688,R
1M211,6564966.420,537948.521,47.348,LP
1M212,6564969.620,537947.253,53.869,M
1M213,6564950.331,537953.969,49.400,LP
1M214,6564981.096,537930.752,49.046,H
X1,6565043.825,537957.804,47.053,
1 (5),6564973.919,537937.808,48.440,
1 (6),6564973.923,537937.810,48.434,
1M215,6564958.158,537945.560,47.040,KRAAV
1M216,6564959.358,537947.799,45.649,KRAAV
1M217,6564959.868,537950.155,46.794,KRAAV
1M218,6564965.244,537938.339,46.857,VPOST
1M219,6564966.784,537938.100,46.816,VPOST
1M220,6564971.000,537937.387,46.866,VPOST
1M221,6564979.770,537920.650,49.770,H
1M222,6564981.100,537930.750,48.975,H
1M223,6564984.597,537930.239,49.168,H
1M224,6564997.608,537925.084,49.503,H
1M225,6565004.963,537924.246,49.781,H
1M226,6564975.872,537932.790,46.788,POS
1M227,6564975.001,537924.413,46.306,POS
1M228,6564972.590,537936.109,48.366,HK
1M229,6564976.211,537935.061,48.321,POS
1M230,6564983.940,537931.603,48.062,POS
1M231,6564993.198,537934.443,48.974,BP
1M232,6564986.484,537925.234,52.720,OH
1M233,6565012.175,537936.284,49.762,LP
1M234,6565014.333,537936.011,49.838,LP
1M235,6565041.855,537936.596,50.469,M
1M236,6565035.761,537937.721,50.288,M
1M237,6565032.530,537938.177,50.191,M
1M238,6565029.162,537938.955,50.091,M
1M239,6565023.770,537939.946,49.930,M
1M240,6565007.144,537941.865,50.228,LP
1M241,6564980.917,537945.927,52.245,LP
1M242,6564980.516,537946.945,52.441,LP
1M243,6564980.808,537945.051,49.352,KU
1M244,6564977.560,537944.989,50.597,KU
1M245,6564975.855,537946.154,52.926,KU
1M246,6564974.666,537946.150,52.084,KU
1M247,6564974.189,537946.896,52.282,KU
1M248,6564973.329,537946.457,50.668,LP
1M249,6564972.015,537946.287,50.650,KU
1M250,6564969.071,537946.965,47.539,KU
1M251,6564957.495,537934.792,48.779,H
1M252,6564965.431,537933.434,48.878,H
1M253,6564965.155,537931.923,48.925,H-
1M254,6564983.131,537941.281,46.962,KRAAV
1M255,6564988.454,537943.061,45.661,KRAAV
1M256,6564987.738,537945.095,46.644,KRAAV
1M257,6564988.004,537944.576,46.625,R
1M258,6564988.654,537944.428,46.626,R
1M259,6564987.400,537942.150,46.601,R
1M260,6564988.140,537942.017,46.587,R
